"director_id","movie_id"
"1001","1"
"1002","2"
"1002","30"
"1002","141"
"1002","142"
"1003","3"
"1004","4"
"1005","5"
"1006","6"
"1007","7"
"1008","7"
"1009","8"
"1010","9"
"1011","10"
"1012","11"
"1013","12"
"1014","13"
"1014","57"
"1015","14"
"1016","15"
"1017","16"
"1017","46"
"1018","17"
"1019","17"
"1020","18"
"1021","19"
"1022","20"
"1023","21"
"1024","22"
"1025","23"
"1026","24"
"1026","80"
"1027","25"
"1028","26"
"1029","27"
"1030","28"
"1031","29"
"1032","31"
"1033","32"
"1034","33"
"1035","34"
"1036","35"
"1037","36"
"1038","37"
"1039","38"
"1039","136"
"1040","39"
"1041","40"
"1042","40"
"1043","41"
"1044","43"
"1045","44"
"1046","45"
"1047","47"
"1048","48"
"1049","49"
"1050","50"
"1051","50"
"1052","51"
"1053","52"
"1053","53"
"1053","134"
"1053","135"
"1054","54"
"1055","55"
"1056","56"
"1057","58"
"1058","59"
"1059","88"
"1059","118"
"1059","131"
"1060","60"
"1060","88"
"1060","118"
"1060","131"
"1061","61"
"1062","62"
"1063","63"
"1064","64"
"1065","66"
"1066","67"
"1067","68"
"1068","69"
"1069","70"
"1070","71"
"1071","72"
"1072","73"
"1073","73"
"1074","74"
"1075","75"
"1076","76"
"1077","77"
"1078","78"
"1079","79"
"1080","81"
"1081","82"
"1082","83"
"1083","84"
"1084","85"
"1085","86"
"1086","90"
"1087","91"
"1088","92"
"1089","93"
"1089","101"
"1090","65"
"1090","94"
"1091","95"
"1092","96"
"1093","97"
"1094","98"
"1095","99"
"1096","100"
"1097","102"
"1098","103"
"1099","104"
"1100","105"
"1101","106"
"1102","107"
"1103","108"
"1104","109"
"1105","110"
"1106","111"
"1107","112"
"1107","113"
"1108","114"
"1108","115"
"1109","116"
"1109","117"
"1110","116"
"1111","117"
"1112","117"
"1113","119"
"1114","120"
"1115","121"
"1116","122"
"1117","123"
"1118","124"
"1119","125"
"1120","126"
"1121","127"
"1122","128"
"1123","129"
"1124","130"
"1125","132"
"1126","133"
"1127","137"
"1128","138"
"1129","139"
"1130","140"
"1131","143"
"1132","144"
"1133","145"
"1134","146"
"1135","147"
"1136","148"
"1137","149"
"1138","150"
"1139","41"
"1139","42"
